source_id,title,raw_local_path,duration_seconds,preview_1,preview_2,preview_3,metadata_language_hint,metadata_review_required,media_url_sha256,raw_sha256,pcm16_sha256,reviewed_at_utc,manual_language,manual_content_type,manual_bahnar_dominance,manual_usable_for_u_real,reviewer,review_notes
VOV4_23A5518B701085121391274F43D7F0A6854AF4A5,Tơdrong kơtơ̆ng ang năr 24.9.2026,artifacts/rq2/vov4_pilot_qa/raw/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107.mp3,904.44,artifacts/rq2/vov4_pilot_qa/previews/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107__p3.wav,bahnar_likely,False,5663c0101107e56183e86ac3e950877585a1d13cce89a1734cebe1514bf04a6d,842eb644a2f7954d2cefd483625525dfea55a4c12d5238741134985d2ae6d09f,17ea09a091cbca3812af0140f346f5f993c4359081915b30854fcc92730ca005,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3,"Hơnhăk choh pơtăm kơjăp truh hăm kon pơlei pơtăm sầu riêng, cheh phe Tây Nguyên",artifacts/rq2/vov4_pilot_qa/raw/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526.mp3,884.312,artifacts/rq2/vov4_pilot_qa/previews/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526__p3.wav,bahnar_likely,False,b8809c45f52630a0ca72ea07fe033b82f65c5227d10cf84096c5fa4c6a7d7354,ad1ad15ae279e0fba5f5873cf3c1e1785541e98404ec037aa6cadc676396d142,ddb5ec7503a7a87393e98dbe2de3099757f6a3bcab15855e5181cb6dd1ffa6fa,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5,Tơdrong kơtơ̆ng ang năr 23-09-2026,artifacts/rq2/vov4_pilot_qa/raw/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9.mp3,896.712,artifacts/rq2/vov4_pilot_qa/previews/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9__p3.wav,bahnar_likely,False,1bc2e7bc13b9f08b8bc68ca6ed9b5d2ab0877ae8af58166e23b4255beaae9e76,01725ea9113be401d19f1204d822c806a369a6b8fd7b4a15bea90187e1764d4e,cdf5b3d27726fe5272180c355a37a1533f0f753c367078b4201591d8adc756a7,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF,Anih jang pơgang Đắk Lắk hơdrin tơplih kơsô̆ kiơ̆ tơdrong Tơchơ̆t 57,artifacts/rq2/vov4_pilot_qa/raw/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019.mp3,419.088,artifacts/rq2/vov4_pilot_qa/previews/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019__p3.wav,bahnar_likely,False,657c30c01019e4a59d469764352e0bcd359481f4684e344fe50ee941bb9ea2b0,3ef847a78d66b87c1ec03d13cfeef33373693ec95f73d4184f48f2ef0bb4dcc4,04a05385410fa68573597e0a24a74943704f73c0685ed528a58bf1bbf4101ef3,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238,Pơlung dăm Teng (Vận động anh Teng làm dân quân),artifacts/rq2/vov4_pilot_qa/raw/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de.mp3,407.544,artifacts/rq2/vov4_pilot_qa/previews/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de__p3.wav,bahnar_likely,False,8a15aa0778de87aad856c5604453d118f1b304002b9eb84760a6590d63a7236b,cc263c10a24aeedb216ba49081da41e6ef2152bfc419138d1bf37f325f483a52,c498aadf4bfdc689d640fa4b119c725aadca54532bc2d44f05968a8597c6dd07,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5,Tơdrong kơtơ̆ng ang năr 22/09/2026,artifacts/rq2/vov4_pilot_qa/raw/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7.mp3,898.608,artifacts/rq2/vov4_pilot_qa/previews/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7__p3.wav,bahnar_likely,False,a8608eef5ef753ad96e71001af25e66b0d3387d867ab31ab13cdfd55f5631419,18e881358ac5458d05bf5e4afdfb9dbbe344507ba392d370eafc4e81acd19c32,85e1ebc1bf7c2b000dd72db62c026a9fbe2a65df4f7a5e79bf1607155c191ed6,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259,Tơdrong kơtơ̆ng ang năr 21-09-2026,artifacts/rq2/vov4_pilot_qa/raw/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d.mp3,899.376,artifacts/rq2/vov4_pilot_qa/previews/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d__p3.wav,bahnar_likely,False,898a58a3412dcf0926f725e130b10e822b34ea44587e79b1d4da046c9426e8bd,d7d0a4df74d37f0c5d716ee18ca5d56cd297fb3eac1e7f5a81b04c8f43dfc647,cf0ac6c56b2eec104bbb310cfd084d34fd42cac2ffee8ade9bed7e57cd20f3dd,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_92294E18D79C88921ACB4C80922594115BCF59C9,Bi mni kơ Đảng (Ca ngợi Đảng),artifacts/rq2/vov4_pilot_qa/raw/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d.mp3,375.912,artifacts/rq2/vov4_pilot_qa/previews/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d__p3.wav,non_bahnar_likely,True,d0013a01333d9001973da4bf790dc8c0e685b6ea2e6a1569fab4abf9239e9679,9ba37b934ebf02060d7663353028013f8c47d2448c5976bf9ea7cb260766fae1,e9e256825e08ae32de2f98707612d915dae2ecc9d33e4d2e9765d270dca6dbf3,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27,Tơdăm Grăn Dhong,artifacts/rq2/vov4_pilot_qa/raw/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0.mp3,1243.104,artifacts/rq2/vov4_pilot_qa/previews/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0__p3.wav,bahnar_likely,False,e517c7e45be09de1675dd0f327fd6eb9a2d7aa80bf46166387cbd73914dcd022,dc0cd41fdb3f512697983ae4a5f7020e75d4148d30a73eff0905413c8b6900f2,ba360a9404fdcb15fd36222a10ae04eb4ea8aa748f6478071ff728f90c7b8a37,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4,Đong đăk tơdrong jĭ ƀât anih đak lŏk tơ̆ng,artifacts/rq2/vov4_pilot_qa/raw/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4.mp3,445.584,artifacts/rq2/vov4_pilot_qa/previews/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4__p1.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4__p2.wav,artifacts/rq2/vov4_pilot_qa/previews/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4__p3.wav,bahnar_likely,False,8c0a99d680e4bdd3a54811a8e051a5b23c63595a58a3b1c43f9a0b6fe4822b2d,dba454fce7f127a912f391d2be1b231ad10f3ef13c1316cfeebcf6f904269aa2,7a564100c85c9425e466b5207b8267b95e27e3ada46b514edfc0c96c5f3ad26f,,bahnar,speech,dominant,yes,human,Predominantly recognized as Bahnar by a Bahnar speaker with approximately 80% ~ 90~ confidence; uncertainty is attributed to regional/dialectal variation.
