source_id,raw_local_path,wav_local_path,duration_seconds,duration_hours,codec_name,format_name,sample_rate,channels,channel_layout,bit_rate,peak_abs,peak_dbfs,rms,rms_dbfs,clipping_fraction,silence_fraction_energy,technical_status,technical_notes,raw_sha256,wav_sha256,pcm16_sha256,duplicate_raw_sha256,duplicate_pcm_sha256
VOV4_23A5518B701085121391274F43D7F0A6854AF4A5,artifacts/rq2/vov4_pilot_qa/raw/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_23A5518B701085121391274F43D7F0A6854AF4A5__5663c0101107.wav,904.44,0.25123333333333336,mp3,mp3,48000,1,mono,128000,0.5643310546875,-4.969321003873476,0.059400755723881885,-24.524160593768745,0.0,0.22427137234089603,PASS,,842eb644a2f7954d2cefd483625525dfea55a4c12d5238741134985d2ae6d09f,9312576b67ee33c96930cdccffff34a834145fe65baaa56019ca91a742cf53f6,17ea09a091cbca3812af0140f346f5f993c4359081915b30854fcc92730ca005,False,False
VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3,artifacts/rq2/vov4_pilot_qa/raw/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_B6C2E19EE2E2E4F8454124A4F5E7D2687EFA78D3__b8809c45f526.wav,884.312,0.24564222222222223,mp3,mp3,48000,1,mono,128000,0.578826904296875,-4.749025815188591,0.058432373281118444,-24.666929481748774,0.0,0.21379622300124393,PASS,,ad1ad15ae279e0fba5f5873cf3c1e1785541e98404ec037aa6cadc676396d142,d1902047434c34c6514645c48f681c20a6a6aac5f3269696fecb97ed72c1b477,ddb5ec7503a7a87393e98dbe2de3099757f6a3bcab15855e5181cb6dd1ffa6fa,False,False
VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5,artifacts/rq2/vov4_pilot_qa/raw/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_17907E6196C5F7A8DB223D5677014F7F475DA2F5__1bc2e7bc13b9.wav,896.712,0.24908666666666665,mp3,mp3,48000,1,mono,128000,0.568939208984375,-4.898682707707224,0.06836775446959435,-23.302973684280786,0.0,0.19578454332552694,PASS,,01725ea9113be401d19f1204d822c806a369a6b8fd7b4a15bea90187e1764d4e,0318d86028723a0de8d57a4de14d5c9c070968fa953a0d99e488608d0d210a47,cdf5b3d27726fe5272180c355a37a1533f0f753c367078b4201591d8adc756a7,False,False
VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF,artifacts/rq2/vov4_pilot_qa/raw/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_787C81D9A37A62382E2EC58F6D32B7A40C3509AF__657c30c01019.wav,419.088,0.11641333333333334,mp3,mp3,48000,1,mono,128000,0.559967041015625,-5.036750685814725,0.06376045347264551,-23.908972056841357,0.0,0.21098596926601126,PASS,,3ef847a78d66b87c1ec03d13cfeef33373693ec95f73d4184f48f2ef0bb4dcc4,612f7008af6f4d5694569722d0d1298fce5ecffb40cbf27eaa990b82523555eb,04a05385410fa68573597e0a24a74943704f73c0685ed528a58bf1bbf4101ef3,False,False
VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238,artifacts/rq2/vov4_pilot_qa/raw/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_28B834BA5981BB6F72C58E206B92BF20C0EBB238__8a15aa0778de.wav,407.544,0.11320666666666666,mp3,mp3,48000,2,stereo,128000,0.8482666015625,-1.4293526390460933,0.07829617322251764,-22.125189277093448,0.0,0.017912352161750994,PASS,,cc263c10a24aeedb216ba49081da41e6ef2152bfc419138d1bf37f325f483a52,1897e4dd8f8daad61fe07a6f5b8d248d1b7caedbe4f9e2277cf22f754573415f,c498aadf4bfdc689d640fa4b119c725aadca54532bc2d44f05968a8597c6dd07,False,False
VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5,artifacts/rq2/vov4_pilot_qa/raw/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_9E455D8BC44A1C863362D5F3260D66D8C7FD31E5__a8608eef5ef7.wav,898.608,0.24961333333333333,mp3,mp3,48000,1,mono,128000,0.570404052734375,-4.876347949451904,0.05826056589988044,-24.692506025474348,0.0,0.24849766303138215,PASS,,18e881358ac5458d05bf5e4afdfb9dbbe344507ba392d370eafc4e81acd19c32,a11c4bb28fae055582b7657bbdc49e6caf35eed7e4307ee819ec58e7e113e4b8,85e1ebc1bf7c2b000dd72db62c026a9fbe2a65df4f7a5e79bf1607155c191ed6,False,False
VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259,artifacts/rq2/vov4_pilot_qa/raw/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_39977787EBC6AC4E2ED3D20DFB65C5088F369259__898a58a3412d.wav,899.376,0.24982666666666667,mp3,mp3,48000,1,mono,128000,0.567230224609375,-4.924812720415652,0.06606241258518006,-23.600911400267698,0.0,0.19531666963173813,PASS,,d7d0a4df74d37f0c5d716ee18ca5d56cd297fb3eac1e7f5a81b04c8f43dfc647,317fa6d5699b08692b9c29059c0a794952c0d4bc9789702fe8dd8208531bc850,cf0ac6c56b2eec104bbb310cfd084d34fd42cac2ffee8ade9bed7e57cd20f3dd,False,False
VOV4_92294E18D79C88921ACB4C80922594115BCF59C9,artifacts/rq2/vov4_pilot_qa/raw/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_92294E18D79C88921ACB4C80922594115BCF59C9__d0013a01333d.wav,375.912,0.10442,mp3,mp3,48000,2,stereo,128000,0.729766845703125,-2.7363174222023106,0.07771400124993501,-22.190014600096077,0.0,0.012130885873902634,PASS,,9ba37b934ebf02060d7663353028013f8c47d2448c5976bf9ea7cb260766fae1,41e0215d188223523d7a2cf611c831fe5bc497681d81777309cc702cd0d18c03,e9e256825e08ae32de2f98707612d915dae2ecc9d33e4d2e9765d270dca6dbf3,False,False
VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27,artifacts/rq2/vov4_pilot_qa/raw/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_5C1E81BC44FEF0E9F3BB2E9E0012A7E55CE70E27__e517c7e45be0.wav,1243.104,0.34530666666666665,mp3,mp3,48000,1,mono,128000,0.576202392578125,-4.788498854422777,0.046415512729356664,-26.66673695492956,0.0,0.34777572198535917,PASS,,dc0cd41fdb3f512697983ae4a5f7020e75d4148d30a73eff0905413c8b6900f2,5bac83cbe68c3b6a1a3cd1f47ed3177a0e1935692e7fd8f7115db91f45e0a956,ba360a9404fdcb15fd36222a10ae04eb4ea8aa748f6478071ff728f90c7b8a37,False,False
VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4,artifacts/rq2/vov4_pilot_qa/raw/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4.mp3,artifacts/rq2/vov4_pilot_qa/wav16k/VOV4_0E9BD02CA9AD88C204A729BBA7E08BDC4E81CBA4__8c0a99d680e4.wav,445.584,0.12377333333333333,mp3,mp3,48000,1,mono,128000,0.5755615234375,-4.798164931168167,0.058478372870139,-24.66009439793655,0.0,0.2855155078773733,PASS,,dba454fce7f127a912f391d2be1b231ad10f3ef13c1316cfeebcf6f904269aa2,c0df865e46e22df85b49ff67f6f073b28df50b6d1e7ce8216de5c8b37cf3fb46,7a564100c85c9425e466b5207b8267b95e27e3ada46b514edfc0c96c5f3ad26f,False,False
